Name,Stat,Line,season_pct_over,L10_pct_over,L2W_pct_over,season_pct_under,L10_pct_under,L2W_pct_under
Markelle Fultz,PTS+REBS+ASTS,24.5,36.4,60.0,66.7,63.6,40.0,33.3
Markelle Fultz,FANTASY,31.0,45.5,60.0,50.0,54.5,40.0,50.0
Markelle Fultz,PTS+REBS,18.5,43.6,40.0,33.3,56.4,60.0,66.7
Markelle Fultz,PTS+ASTS,20.5,41.8,50.0,50.0,58.2,50.0,50.0
Markelle Fultz,FTM,1.5,58.2,50.0,33.3,41.8,50.0,66.7
Gary Harris,PTS,7.5,53.3,60.0,66.7,46.7,40.0,33.3
Cole Anthony,PTS,13.5,50.0,80.0,83.3,50.0,20.0,16.7
Cole Anthony,REB,5.0,32.1,50.0,66.7,48.2,10.0,0.0
Cole Anthony,AST,3.0,58.9,30.0,33.3,25.0,30.0,33.3
Cole Anthony,PTS+REBS+ASTS,22.5,48.2,80.0,83.3,51.8,20.0,16.7
Cole Anthony,PTS+REBS,18.5,48.2,80.0,83.3,51.8,20.0,16.7
Cole Anthony,PTS+ASTS,17.5,50.0,80.0,83.3,50.0,20.0,16.7
Cole Anthony,FTM,2.5,42.9,50.0,50.0,57.1,50.0,50.0
Cole Anthony,TOV,1.5,48.2,40.0,33.3,51.8,60.0,66.7
Jalen Suggs,PTS,9.5,48.9,60.0,50.0,51.1,40.0,50.0
Jalen Suggs,REB,3.5,40.4,50.0,0.0,59.6,50.0,100.0
Jalen Suggs,PTS+REBS+ASTS,14.5,51.1,50.0,50.0,48.9,50.0,50.0
Jalen Suggs,PTS+REBS,12.5,48.9,60.0,50.0,51.1,40.0,50.0
Jalen Suggs,PTS+ASTS,11.5,55.3,60.0,50.0,44.7,40.0,50.0
Talen Horton-Tucker,PTS,18.5,12.9,40.0,28.6,87.1,60.0,71.4
Talen Horton-Tucker,REB,4.5,29.0,60.0,57.1,71.0,40.0,42.9
Talen Horton-Tucker,AST,5.0,24.2,60.0,42.9,66.1,20.0,28.6
Talen Horton-Tucker,PTS+REBS+ASTS,28.5,14.5,50.0,42.9,85.5,50.0,57.1
Talen Horton-Tucker,FANTASY,30.5,24.2,50.0,42.9,75.8,50.0,57.1
Talen Horton-Tucker,FG3M,1.5,22.6,40.0,28.6,77.4,60.0,71.4
Talen Horton-Tucker,PTS+REBS,23.5,14.5,50.0,42.9,85.5,50.0,57.1
Talen Horton-Tucker,PTS+ASTS,23.5,11.3,50.0,42.9,88.7,50.0,57.1
Talen Horton-Tucker,REBS+ASTS,9.5,25.8,70.0,71.4,74.2,30.0,28.6
Ochai Agbaji,PTS,12.5,18.9,50.0,42.9,81.1,50.0,57.1
Ochai Agbaji,REB,2.5,37.7,60.0,57.1,62.3,40.0,42.9
Ochai Agbaji,PTS+REBS+ASTS,16.5,18.9,40.0,42.9,81.1,60.0,57.1
Ochai Agbaji,FANTASY,20.5,20.8,50.0,57.1,79.2,50.0,42.9
Ochai Agbaji,PTS+REBS,15.5,18.9,50.0,42.9,81.1,50.0,57.1
Ochai Agbaji,PTS+ASTS,13.5,20.8,50.0,42.9,79.2,50.0,57.1
Walker Kessler,PTS,12.5,22.2,40.0,28.6,77.8,60.0,71.4
Walker Kessler,REB,10.5,29.2,30.0,28.6,70.8,70.0,71.4
Walker Kessler,PTS+REBS+ASTS,24.5,25.0,50.0,42.9,75.0,50.0,57.1
Walker Kessler,FANTASY,33.5,34.7,60.0,57.1,65.3,40.0,42.9
Walker Kessler,PTS+REBS,23.0,25.0,40.0,42.9,73.6,50.0,57.1
Walker Kessler,PTS+ASTS,13.5,19.4,40.0,28.6,80.6,60.0,71.4
Walker Kessler,REBS+ASTS,12.0,25.0,50.0,42.9,69.4,50.0,57.1
Kris Dunn,PTS,12.5,31.2,30.0,42.9,68.8,70.0,57.1
Kris Dunn,AST,5.0,37.5,40.0,42.9,31.2,20.0,14.3
Kris Dunn,PTS+REBS+ASTS,21.5,56.2,50.0,42.9,43.8,50.0,57.1
Kris Dunn,FANTASY,26.5,50.0,40.0,42.9,50.0,60.0,57.1
Kris Dunn,FG3M,0.5,56.2,40.0,57.1,43.8,60.0,42.9
Kris Dunn,PTS+REBS,16.5,50.0,40.0,42.9,50.0,60.0,57.1
Kris Dunn,PTS+ASTS,17.5,31.2,30.0,42.9,68.8,70.0,57.1
Kris Dunn,REBS+ASTS,9.0,37.5,30.0,14.3,43.8,40.0,42.9
Donovan Mitchell,PTS,28.5,49.2,50.0,60.0,50.8,50.0,40.0
Donovan Mitchell,REB,5.0,20.0,40.0,40.0,60.0,30.0,0.0
Donovan Mitchell,AST,4.0,46.2,10.0,20.0,40.0,60.0,80.0
Donovan Mitchell,PTS+REBS+ASTS,37.5,46.2,50.0,60.0,53.8,50.0,40.0
Donovan Mitchell,FANTASY,43.5,41.5,30.0,20.0,58.5,70.0,80.0
Donovan Mitchell,PTS+REBS,33.5,43.1,50.0,60.0,56.9,50.0,40.0
Donovan Mitchell,PTS+ASTS,32.5,46.2,40.0,40.0,53.8,60.0,60.0
Donovan Mitchell,FTM,4.5,47.7,50.0,80.0,52.3,50.0,20.0
Jalen Brunson,PTS,24.5,43.9,30.0,25.0,56.1,70.0,75.0
Jalen Brunson,REB,3.5,43.9,40.0,25.0,56.1,60.0,75.0
Jalen Brunson,AST,6.0,40.9,30.0,25.0,45.5,50.0,50.0
Jalen Brunson,PTS+REBS+ASTS,34.5,45.5,40.0,50.0,54.5,60.0,50.0
Jalen Brunson,FANTASY,39.5,43.9,30.0,25.0,56.1,70.0,75.0
Jalen Brunson,PTS+REBS,28.5,39.4,20.0,25.0,60.6,80.0,75.0
Jalen Brunson,PTS+ASTS,31.5,39.4,30.0,25.0,60.6,70.0,75.0
Jalen Brunson,REBS+ASTS,9.5,45.5,50.0,50.0,54.5,50.0,50.0
Jalen Brunson,FTM,4.5,47.0,20.0,0.0,53.0,80.0,100.0
Darius Garland,PTS,22.5,37.9,40.0,40.0,62.1,60.0,60.0
Darius Garland,AST,7.0,53.0,40.0,60.0,33.3,40.0,40.0
Darius Garland,PTS+REBS+ASTS,33.5,40.9,40.0,40.0,59.1,60.0,60.0
Darius Garland,FANTASY,37.5,45.5,40.0,20.0,54.5,60.0,80.0
Darius Garland,PTS+REBS,25.5,37.9,30.0,40.0,62.1,70.0,60.0
Darius Garland,PTS+ASTS,30.5,37.9,40.0,40.0,62.1,60.0,60.0
Darius Garland,REBS+ASTS,10.5,48.5,40.0,40.0,51.5,60.0,60.0
Darius Garland,FTM,3.0,53.0,40.0,40.0,31.8,30.0,40.0
Darius Garland,TOV,2.5,51.5,70.0,60.0,48.5,30.0,40.0
RJ Barrett,PTS,20.5,42.9,50.0,33.3,57.1,50.0,66.7
RJ Barrett,REB,5.0,40.0,20.0,16.7,42.9,50.0,66.7
RJ Barrett,FANTASY,29.5,48.6,50.0,33.3,51.4,50.0,66.7
RJ Barrett,FG3M,1.5,51.4,30.0,50.0,48.6,70.0,50.0
RJ Barrett,PTS+REBS,25.5,47.1,40.0,16.7,52.9,60.0,83.3
RJ Barrett,PTS+ASTS,22.5,50.0,50.0,50.0,50.0,50.0,50.0
RJ Barrett,REBS+ASTS,7.5,51.4,30.0,33.3,48.6,70.0,66.7
RJ Barrett,FTM,4.5,44.3,60.0,50.0,55.7,40.0,50.0
RJ Barrett,TOV,2.5,41.4,50.0,66.7,58.6,50.0,33.3
Evan Mobley,PTS,17.0,38.7,60.0,80.0,50.7,30.0,0.0
Evan Mobley,REB,9.5,33.3,30.0,40.0,66.7,70.0,60.0
Evan Mobley,PTS+REBS+ASTS,29.5,41.3,70.0,80.0,58.7,30.0,20.0
Evan Mobley,FANTASY,36.5,45.3,70.0,80.0,54.7,30.0,20.0
Evan Mobley,PTS+REBS,26.5,40.0,50.0,60.0,60.0,50.0,40.0
Evan Mobley,PTS+ASTS,20.5,44.0,70.0,80.0,56.0,30.0,20.0
Evan Mobley,REBS+ASTS,12.5,38.7,30.0,40.0,61.3,70.0,60.0
Evan Mobley,FTM,3.0,30.7,50.0,40.0,49.3,20.0,40.0
Quentin Grimes,PTS,12.0,30.3,50.0,66.7,65.2,50.0,33.3
Quentin Grimes,REB,3.5,45.5,40.0,50.0,54.5,60.0,50.0
Quentin Grimes,FANTASY,21.5,36.4,50.0,66.7,62.1,50.0,33.3
Quentin Grimes,FG3M,2.5,31.8,60.0,83.3,68.2,40.0,16.7
Quentin Grimes,PTS+REBS,15.5,36.4,50.0,66.7,63.6,50.0,33.3
Quentin Grimes,PTS+ASTS,14.5,34.8,50.0,66.7,65.2,50.0,33.3
Quentin Grimes,FTM,0.5,47.0,50.0,33.3,53.0,50.0,66.7
Caris LeVert,PTS,13.5,32.4,60.0,40.0,67.6,40.0,60.0
Caris LeVert,REB,4.0,33.8,10.0,0.0,43.7,60.0,60.0
Caris LeVert,PTS+REBS+ASTS,21.5,38.0,50.0,40.0,62.0,50.0,60.0
Caris LeVert,FANTASY,27.5,38.0,50.0,40.0,60.6,50.0,60.0
Caris LeVert,PTS+REBS,17.5,36.6,50.0,40.0,63.4,50.0,60.0
Caris LeVert,PTS+ASTS,17.5,38.0,60.0,40.0,62.0,40.0,60.0
Caris LeVert,REBS+ASTS,8.5,38.0,20.0,0.0,62.0,80.0,100.0
Caris LeVert,FTM,1.5,53.5,60.0,60.0,46.5,40.0,40.0
Caris LeVert,BLK+STL,1.5,38.0,60.0,60.0,62.0,40.0,40.0
Lamar Stevens,PTS,8.0,19.3,30.0,20.0,68.4,60.0,80.0
Lamar Stevens,REB,6.0,10.5,10.0,20.0,80.7,80.0,80.0
Lamar Stevens,PTS+REBS+ASTS,15.0,12.3,10.0,0.0,80.7,80.0,100.0
Lamar Stevens,FG3M,0.5,38.6,50.0,20.0,61.4,50.0,80.0
Lamar Stevens,PTS+REBS,14.5,15.8,20.0,0.0,84.2,80.0,100.0
Lamar Stevens,TOV,0.5,35.1,10.0,0.0,64.9,90.0,100.0
Immanuel Quickley,PTS,16.5,32.9,60.0,66.7,67.1,40.0,33.3
Immanuel Quickley,PTS+REBS+ASTS,23.5,32.9,50.0,50.0,67.1,50.0,50.0
Isaiah Hartenstein,PTS,5.0,40.3,40.0,66.7,53.2,40.0,16.7
Isaiah Hartenstein,PTS+REBS+ASTS,14.5,36.4,50.0,66.7,63.6,50.0,33.3
Royce O'Neale,PTS,8.5,50.7,60.0,60.0,49.3,40.0,40.0
Royce O'Neale,REB,4.5,52.1,80.0,60.0,47.9,20.0,40.0
Royce O'Neale,AST,2.5,70.4,40.0,40.0,29.6,60.0,60.0
Royce O'Neale,PTS+REBS+ASTS,15.5,62.0,70.0,80.0,38.0,30.0,20.0
Royce O'Neale,PTS+REBS,12.5,57.7,60.0,60.0,42.3,40.0,40.0
Royce O'Neale,PTS+ASTS,10.5,67.6,70.0,80.0,32.4,30.0,20.0
Royce O'Neale,REBS+ASTS,7.0,60.6,70.0,80.0,19.7,10.0,20.0
Royce O'Neale,FTM,0.5,36.6,60.0,60.0,63.4,40.0,40.0
Trae Young,PTS,26.0,50.7,60.0,42.9,44.9,40.0,57.1
Trae Young,AST,9.5,55.1,50.0,57.1,44.9,50.0,42.9
Trae Young,PTS+REBS+ASTS,38.5,60.9,70.0,57.1,39.1,30.0,42.9
Trae Young,FANTASY,43.5,55.1,50.0,28.6,44.9,50.0,71.4
Trae Young,PTS+REBS,29.5,50.7,70.0,57.1,49.3,30.0,42.9
Trae Young,PTS+ASTS,35.5,60.9,70.0,57.1,39.1,30.0,42.9
Trae Young,REBS+ASTS,12.5,52.2,40.0,28.6,47.8,60.0,71.4
Trae Young,FTM,7.5,49.3,40.0,42.9,50.7,60.0,57.1
LeBron James,PTS,26.5,61.2,40.0,0.0,38.8,60.0,100.0
LeBron James,REB,8.0,38.8,40.0,0.0,34.7,30.0,0.0
LeBron James,AST,5.0,67.3,60.0,0.0,20.4,40.0,100.0
LeBron James,PTS+REBS+ASTS,39.5,71.4,50.0,0.0,28.6,50.0,100.0
LeBron James,FANTASY,44.5,69.4,40.0,0.0,30.6,60.0,100.0
LeBron James,PTS+REBS,34.5,63.3,40.0,0.0,36.7,60.0,100.0
LeBron James,PTS+ASTS,31.5,67.3,50.0,0.0,32.7,50.0,100.0
LeBron James,REBS+ASTS,13.5,67.3,50.0,0.0,32.7,50.0,100.0
LeBron James,FTM,5.0,34.7,40.0,50.0,53.1,40.0,50.0
Mikal Bridges,PTS,27.5,15.6,40.0,33.3,84.4,60.0,66.7
Mikal Bridges,REB,4.0,44.2,40.0,50.0,37.7,30.0,33.3
Mikal Bridges,PTS+REBS+ASTS,34.5,23.4,60.0,66.7,76.6,40.0,33.3
Mikal Bridges,FANTASY,38.5,33.8,60.0,66.7,66.2,40.0,33.3
Mikal Bridges,FG3M,2.5,33.8,70.0,66.7,66.2,30.0,33.3
Mikal Bridges,PTS+REBS,31.5,19.5,50.0,50.0,80.5,50.0,50.0
Mikal Bridges,PTS+ASTS,30.5,22.1,60.0,66.7,77.9,40.0,33.3
Mikal Bridges,FTM,6.5,23.4,70.0,66.7,76.6,30.0,33.3
Anthony Davis,PTS,26.0,50.0,50.0,50.0,48.0,40.0,33.3
Anthony Davis,REB,11.5,58.0,40.0,16.7,42.0,60.0,83.3
Anthony Davis,PTS+REBS+ASTS,39.5,60.0,50.0,50.0,40.0,50.0,50.0
Anthony Davis,FANTASY,48.5,60.0,50.0,33.3,40.0,50.0,66.7
Anthony Davis,PTS+REBS,37.5,54.0,40.0,33.3,46.0,60.0,66.7
Anthony Davis,PTS+ASTS,28.5,48.0,60.0,66.7,52.0,40.0,33.3
Anthony Davis,REBS+ASTS,14.0,52.0,40.0,16.7,38.0,40.0,50.0
Anthony Davis,FTM,6.5,42.0,60.0,66.7,58.0,40.0,33.3
Anthony Davis,BLK+STL,2.5,58.0,40.0,33.3,42.0,60.0,66.7
Anthony Edwards,PTS,25.5,54.1,60.0,25.0,45.9,40.0,75.0
Anthony Edwards,REB,5.0,54.1,40.0,0.0,32.4,40.0,75.0
Anthony Edwards,AST,4.0,51.4,50.0,50.0,40.5,50.0,50.0
Anthony Edwards,PTS+REBS+ASTS,35.5,51.4,60.0,25.0,48.6,40.0,75.0
Anthony Edwards,FANTASY,41.5,51.4,40.0,25.0,48.6,60.0,75.0
Anthony Edwards,FG3M,2.5,50.0,50.0,25.0,50.0,50.0,75.0
Anthony Edwards,PTS+REBS,31.5,50.0,40.0,0.0,50.0,60.0,100.0
Anthony Edwards,PTS+ASTS,30.5,51.4,60.0,25.0,48.6,40.0,75.0
Anthony Edwards,REBS+ASTS,9.5,52.7,40.0,25.0,47.3,60.0,75.0
Anthony Edwards,FTM,3.5,50.0,40.0,25.0,50.0,60.0,75.0
Anthony Edwards,BLK,0.5,47.3,40.0,25.0,52.7,60.0,75.0
Anthony Edwards,TOV,2.5,66.2,50.0,25.0,33.8,50.0,75.0
Dejounte Murray,PTS,19.5,53.6,40.0,60.0,46.4,60.0,40.0
Dejounte Murray,REB,5.0,42.0,30.0,40.0,37.7,60.0,60.0
Dejounte Murray,AST,5.0,55.1,70.0,80.0,30.4,20.0,0.0
Dejounte Murray,PTS+REBS+ASTS,30.5,58.0,40.0,60.0,42.0,60.0,40.0
Dejounte Murray,FANTASY,36.5,56.5,60.0,60.0,43.5,40.0,40.0
Dejounte Murray,PTS+REBS,25.5,52.2,30.0,40.0,47.8,70.0,60.0
Dejounte Murray,PTS+ASTS,25.5,49.3,40.0,60.0,50.7,60.0,40.0
Dejounte Murray,REBS+ASTS,10.5,60.9,60.0,80.0,39.1,40.0,20.0
Dejounte Murray,FTM,2.5,37.7,50.0,60.0,62.3,50.0,40.0
D'Angelo Russell,PTS,17.5,53.0,60.0,50.0,47.0,40.0,50.0
D'Angelo Russell,REB,2.5,57.6,50.0,25.0,42.4,50.0,75.0
D'Angelo Russell,AST,5.0,63.6,70.0,75.0,27.3,30.0,25.0
D'Angelo Russell,PTS+REBS+ASTS,25.5,59.1,50.0,25.0,40.9,50.0,75.0
D'Angelo Russell,FANTASY,29.5,66.7,80.0,75.0,33.3,20.0,25.0
D'Angelo Russell,FG3M,2.5,53.0,70.0,50.0,47.0,30.0,50.0
D'Angelo Russell,PTS+REBS,20.5,53.0,60.0,50.0,47.0,40.0,50.0
D'Angelo Russell,PTS+ASTS,22.5,54.5,60.0,50.0,45.5,40.0,50.0
D'Angelo Russell,FTM,2.5,39.4,50.0,25.0,60.6,50.0,75.0
Spencer Dinwiddie,PTS,19.5,43.2,30.0,33.3,56.8,70.0,66.7
Spencer Dinwiddie,AST,9.0,13.5,70.0,66.7,81.1,20.0,16.7
Spencer Dinwiddie,PTS+REBS+ASTS,32.5,28.4,60.0,50.0,71.6,40.0,50.0
Spencer Dinwiddie,FANTASY,38.5,29.7,70.0,50.0,70.3,30.0,50.0
